objectid,district,shape_st_area,shape_st_length,created_user,created_date,last_edited_user,last_edited_date,population,district_cpd,placename,category,total23,2015,2016,2017,2018,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
7210,117,164950530.96148637,85642.31932851662,GIS,1667323453000,GIS,1667323453000,24000,CPDS,"Bond Park, Park Village, Brookstone and Parkway Pointe",Aggravated Assault,5,11,16,11,15,11,9,13,15,5,37,12.3,36.4,-54.5,-66.7,-59,45.8,37.5,54.2,62.5,20.8,51.3
7214,111,232135521.46403223,259080.19435952336,GIS,1667323453000,GIS,1667323453000,14000,CPDN,"Harrison Park, Northwoods and Weston Parkway",Aggravated Assault,21,21,11,11,18,18,19,21,20,21,60,20,11.1,16.7,5,5,128.6,135.7,150,142.9,150,142.9
7215,122,236126387.25935683,269233.07073789317,GIS,1667323453000,GIS,1667323453000,23000,CPDN,"Cary Park Town Center, Southwest Cary and Cary Park",Aggravated Assault,5,10,5,6,9,7,8,6,10,5,24,8,42.9,-28.6,-50,-38,30.4,34.8,26.1,43.5,21.7,34.8
7216,1,55350782.02761763,84698.1217344513,GIS,1667323453000,GIS,1667323453000,1000,MPD1,Unknown,Aggravated Assault,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
7217,121,153498558.5423196,145652.9093462839,GIS,1667323453000,GIS,1667323453000,18000,CPDN,"Carpenter Village, Preston and Green Hope HS",Aggravated Assault,7,5,1,3,3,4,4,6,6,7,16,5.3,50,75,16.7,32,22.2,22.2,33.3,33.3,38.9,29.4
7218,120,70684922.56457101,38277.52157557604,GIS,1667323453000,GIS,1667323453000,7000,CPDS,"Cary Towne Center, Cary Village Square and Chatham Square",Aggravated Assault,21,20,24,23,16,22,13,19,21,21,53,17.7,-4.5,-4.5,0,19,314.3,185.7,271.4,300,300,252.9
7219,118,126501895.88297781,96958.1343753846,GIS,1667323453000,GIS,1667323453000,11000,CPDS,"Southeast Cary, Walnut Plaza and Crossroads",Aggravated Assault,17,16,26,18,15,18,20,18,12,17,50,16.7,-33.3,-5.6,41.7,2,163.6,181.8,163.6,109.1,154.5,151.8
7222,119,136936956.09491783,150601.04170642185,GIS,1667323453000,GIS,1667323453000,19000,CPDN,"Carolina Preserve, Cary Park and Panther Creek HS",Aggravated Assault,13,6,7,9,9,14,9,12,18,14,39,13,28.6,0,-22.2,8,73.7,47.4,63.2,94.7,73.7,68.4
7223,115,138318320.2306666,58744.41968620181,GIS,1667323453000,GIS,1667323453000,14000,CPDS,"Central Cary, Ashley Village, Scottish Hills and MacGregor Downs",Aggravated Assault,12,25,16,14,11,10,13,16,17,12,46,15.3,70,20,-29.4,-22,71.4,92.9,114.3,121.4,85.7,109.3
7225,113,61641277.27073684,89545.54325973522,GIS,1667323453000,GIS,1667323453000,8000,CPDN,"Central Cary, Town Hall Campus and Harrison Pointe Shopping Center",Aggravated Assault,13,18,12,11,14,13,16,15,14,13,45,15,7.7,0,-7.1,-13,162.5,200,187.5,175,162.5,187.5
7227,116,220165713.03288692,265668.4216562956,GIS,1667323453000,GIS,1667323453000,15000,CPDS,"Regency Park, Waverly Place, MacGregor Park and Crescent Commons",Aggravated Assault,12,10,14,18,15,20,13,19,17,12,49,16.3,-15,-40,-29.4,-26,133.3,86.7,126.7,113.3,80,108.7
7229,112,71840612.62404658,46671.97848203181,GIS,1667323453000,GIS,1667323453000,8000,CPDS,"Southeast Cary, South Hills Shopping Center and Aurella",Aggravated Assault,13,12,17,19,20,21,19,26,20,13,65,21.7,-4.8,-38.1,-35,-40,262.5,237.5,325,250,162.5,271.2
7232,114,90277126.29940057,53902.22708201789,GIS,1667323453000,GIS,1667323453000,12000,CPDN,"Maynard Loop, Maynard Crossing and Weatherfield Industrial Park",Aggravated Assault,14,29,26,18,32,14,11,7,21,14,39,13,50,0,-33.3,8,116.7,91.7,58.3,175,116.7,108.3
