objectid,district,shape_st_area,shape_st_length,created_user,created_date,last_edited_user,last_edited_date,population,district_cpd,placename,type,total23,2024,2015,2016,2017,2018,total19,total20,total21,total22,2025,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
7210,117,164950530.96148637,85642.31932851662,GIS,1667323453000,GIS,1667323453000,24000,CPDS,"Bond Park, Park Village, Brookstone and Parkway Pointe",Other/Unknown,169,206,252,288,295,243,196,178,205,187,51,229,570,190,-4.6,16.8,22.5,21,816.7,741.7,854.2,779.2,954.2,791.7
7210,117,164950530.96148637,85642.31932851662,GIS,1667323453000,GIS,1667323453000,24000,CPDS,"Bond Park, Park Village, Brookstone and Parkway Pointe",Property,131,104,143,134,130,135,105,101,153,97,23,112,351,117,-7.6,6.7,15.5,-4,437.5,420.8,637.5,404.2,466.7,487.5
7210,117,164950530.96148637,85642.31932851662,GIS,1667323453000,GIS,1667323453000,24000,CPDS,"Bond Park, Park Village, Brookstone and Parkway Pointe",Violent,5,4,11,18,12,16,14,10,14,15,2,6,39,13,7.1,-57.1,-60,-54,58.3,41.7,58.3,62.5,25,54.2
7214,111,232135521.46403223,259080.19435952336,GIS,1667323453000,GIS,1667323453000,14000,CPDN,"Harrison Park, Northwoods and Weston Parkway",Other/Unknown,336,428,267,300,314,298,287,297,261,263,56,419,821,273.7,-8.4,46,59.3,53,2050,2121.4,1864.3,1878.6,2992.9,1955
7214,111,232135521.46403223,259080.19435952336,GIS,1667323453000,GIS,1667323453000,14000,CPDN,"Harrison Park, Northwoods and Weston Parkway",Property,386,436,169,148,192,179,157,235,219,206,44,407,660,220,31.2,159.2,97.6,85,1121.4,1678.6,1564.3,1471.4,2907.1,1571.4
7214,111,232135521.46403223,259080.19435952336,GIS,1667323453000,GIS,1667323453000,14000,CPDN,"Harrison Park, Northwoods and Weston Parkway",Violent,25,9,26,19,20,19,20,20,23,22,4,9,65,21.7,10,-55,-59.1,-59,142.9,142.9,164.3,157.1,64.3,155
7215,122,236126387.25935683,269233.07073789317,GIS,1667323453000,GIS,1667323453000,23000,CPDN,"Cary Park Town Center, Southwest Cary and Cary Park",Other/Unknown,139,187,133,154,128,135,116,121,114,150,32,190,385,128.3,29.3,63.8,26.7,48,504.3,526.1,495.7,652.2,826.1,557.8
7215,122,236126387.25935683,269233.07073789317,GIS,1667323453000,GIS,1667323453000,23000,CPDN,"Cary Park Town Center, Southwest Cary and Cary Park",Property,165,169,81,73,83,65,91,88,121,131,22,161,340,113.3,44,76.9,22.9,42,395.7,382.6,526.1,569.6,700,492.6
7215,122,236126387.25935683,269233.07073789317,GIS,1667323453000,GIS,1667323453000,23000,CPDN,"Cary Park Town Center, Southwest Cary and Cary Park",Violent,6,2,13,7,7,10,8,8,6,10,1,1,24,8,25,-87.5,-90,-88,34.8,34.8,26.1,43.5,4.3,34.8
7216,1,55350782.02761763,84698.1217344513,GIS,1667323453000,GIS,1667323453000,1000,MPD1,Unknown,Other/Unknown,2,1,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,0,0,0,0,100,0
